,Unnamed: 0,logs,cat
4216,4216,so for the first time in my life i bought my shoes ,shopping
1089,1089,i went to dinner an afternoon,food
717,717,i bought fish and fries ,food
674,674,i had a meal today ,food
2034,2034,cost for day,transport
1179,1179,petrol is filled ,transport
3560,3560,i bought amazon phone ,shopping
3468,3468,new addidas shoes are great ,shopping
3740,3740,purchased pair yesterday,shopping
3858,3858,i bought a watch from flip flops ,shopping
4538,4538,i bought a new phone ,shopping
1346,1346,petrol is empty,transport
6305,6305,i paid the monthly service for channel ,bills
1787,1787,amount of oil for car oil ,transport
2243,2243,expense from travel,transport
687,687,it took money to feed a fish and meat ,food
1311,1311,filled fill,transport
3984,3984,my husband bought two sets of trousers today and a shirt from the front of the house ,shopping
1932,1932,i had to put petrol in today ,transport
3430,3430,i was going to buy a jacket today ,shopping
2541,2541,gas rates for today,transport
3683,3683,i bought a new smartphone for today ,shopping
3522,3522,the new saree and i bought her ,shopping
3486,3486,buy ray ban sunglasses ,shopping
3678,3678,i bought a smartphone today ,shopping
394,394,i took a 1 3 litre and meat today ,food
3245,3245,i went to clothing shop and bought a pair of trousers,shopping
691,691,he paid for fish and meat ,food
1091,1091,i ate my lunch that afternoon ,food
1035,1035,uber eats,food
4983,4983,i bought my own glove for hym ,shopping
2830,2830,i m gasping for oxygen on my bike,transport
3431,3431,i bought jackets today ,shopping
2166,2166,then at chennai train i went there ,transport
1327,1327,i have a gas today ,transport
1574,1574,he wanted to go for a ride on my bike ,transport
224,224,today today i ate something ,food
1815,1815,i took the bus to the office ,transport
2518,2518,fix my bike ,transport
659,659,buy something to eat eggs and bread ,food
2313,2313,we already have plans to fly a flight for the trip,transport
665,665,i bought a meal today ,food
2616,2616,i was just going to get to homw ,transport
463,463,total cost of shopping,food
3623,3623,the new amazon purchase is great and i bought a laptop,shopping
4149,4149,i bought a book ,shopping
4200,4200,expense of purchases,shopping
1607,1607,bike isn not going to start it is starting again ,transport
906,906,a lunch bill for the last amount,food
4436,4436,the cost to buy,shopping
5862,5862,the bills paid ,bills
6182,6182,the taxes will be paid this year ,bills
2349,2349,i took uber to a place where he could be the boss ,transport
5595,5595,i just paid my prepaid phone ,bills
6176,6176,the tax of this year shall be paid ,bills
1966,1966,i ve just gotten off the bus ,transport
6021,6021,my emi are paid ,bills
1659,1659,the diesel car was last ,transport
1023,1023,bubbac is eating her food ,food
4598,4598,expenses for cloth ,shopping
1863,1863,i went to see us today ,transport
4313,4313,we pay in full in front of the new smartphone,shopping
5788,5788,mortgage is paid ,bills
2502,2502,my bike just doesn not work so i had to fix it myself ,transport
4131,4131,i went online for a couple of books ,shopping
3817,3817,i bought new raincoat today ,shopping
266,266,and noodles ,food
4049,4049,purchased computer,shopping
4126,4126,went online for books ,shopping
2807,2807,all my expenses for the road trip ,transport
5604,5604,paid bill payment,bills
471,471,total cost of purchase for groceries,food
2479,2479,a pile of money in the repair of my car,transport
3107,3107,the car is filled with me ,transport
1064,1064,afternoon is lunch?,food
4159,4159,i went to buy books and bought a lot of them ,shopping
4936,4936,he bought a sports pack,shopping
5830,5830,i pay the bills ,bills
2053,2053,i went to college for uber ,transport
4991,4991,i bought gloves ,shopping
3929,3929,i bought an outfit for kids ,shopping
5108,5108,i bought a printer for color ,shopping
6204,6204,pay for tax on a yearly basis,bills
6465,6465,my house is tax payments paid,bills
760,760,he bought a house of groceries and bread ,food
5400,5400,purchase a car,bills
2386,2386,i had to get home today ,transport
6365,6365,i have to pay the tax bills every year ,bills
4626,4626,i bought jeans and a hat ,shopping
2813,2813,the gas in the car filled the gas!,transport
999,999,i ve ordered soup for lunch ,food
5431,5431,today i rented the house ,bills
4870,4870,i just got a new pair of bags for my office ,shopping
3928,3928,buy a uniform for the kids ,shopping
1546,1546,i had to ride bus,transport
3342,3342,on my way back and the expense,shopping
5287,5287,to make my hair fall down to make my hair fall down to make my hair fall down,shopping
5853,5853,i paid for my modem fees,bills
1703,1703,filled my car with 10 litres of diesel ,transport
4659,4659,i bought a new laptop ,shopping
1944,1944,i went to the drive today and told deisel about me,transport
6046,6046,interest for the month is paid,bills
688,688,he took money to buy fish and cattle ,food
637,637,i bought fresh fruit and milk today ,food
3042,3042,paid for a sleeper train ticket,transport
917,917,today is price paid for lunch,food
4163,4163,i went for a couple of books and bought a few ,shopping
4061,4061,i bought a computer with speakers and i m done ,shopping
3345,3345,i took a trip and i missed the expense ,shopping
3788,3788,i bought a smartphone and a laptop for an indian market ,shopping
6052,6052,emi month is a paid term ,bills
251,251,i happened to buy veggie nuts today ,food
5081,5081,purchased stationary for sale,shopping
1130,1130,purchased fruits and veggies,food
3027,3027,two class ac train is booked,transport
3442,3442,and i bought a pair of sneakers ,shopping
2825,2825,i had to fill the gas for the bike ,transport
2220,2220,today i had to leave the office and take the bus ,transport
2929,2929,gas is on the way to the car ,transport
5846,5846,paying bills by broadband ,bills
624,624,today i ate dried fruits and milk ,food
1888,1888,travel to south korea ,transport
4299,4299,they pay in full for the new smartphone ,shopping
3648,3648,purchased sony camera ,shopping
2984,2984,flight tickets for delhi,transport
4166,4166,i went shopping for books and bought more ,shopping
6059,6059,emi is deducted from my account ,bills
4624,4624,i bought jeans and a shirt ,shopping
5630,5630,i m paying my bill today ,bills
4176,4176,he would go for sneakers on a shopping spree,shopping
123,123,i had a snack today ,food
16,16,i bought food from a hotel ,food
282,282,egg and milk sales,food
127,127,i ate some food today ,food
169,169,green vegetables have been taken into consideration ,food
2159,2159,chennai at the train,transport
3267,3267,I purchased amazon prime for a month,shopping
2418,2418,i had to fill my tank with gas,transport
6529,6529,current bill for the month is paid,bills
1055,1055,i ordered uber burger for breakfast ,food
1077,1077,i had my lunch tomorrow ,food
4891,4891,buy school,shopping
786,786,a gallon of oil was recently purchased today ,food
149,149,i bought rice and other vegetarians ,food
6506,6506,my house rent is paid,bills
1513,1513,the bike is broken today ,transport
499,499,today i bought groceries ,food
5336,5336,the grey t shirt,shopping
3398,3398,i bought jeans and t shirts here today ,shopping
1934,1934,i went to the park today and drank deisel is car ,transport
6360,6360,i have to write annual income tax returns ,bills
5278,5278,i bought perfume and cologne and then sold it to you for the third time so we ,shopping
4026,4026,i bought an oven from owen today ,shopping
5316,5316,and you have a new suit for me so i bought a new black suit ,shopping
3805,3805,i bought a keyboard and mouse today ,shopping
275,275,i bought spaghetti and noodles ,food
923,923,money that we spend for dinner ,food
401,401,i bought rice for myself today ,food
715,715,i bought salmon today ,food
4749,4749,i bought new novels and i thought i have something to write ,shopping
2896,2896,my to days expense,transport
2810,2810,all expenses for my expedition to goa ,transport
5657,5657,my broadband bills are fully charged ,bills
2289,2289,expense from home to the office,transport
6105,6105,i have a full time pension for emi this month ,bills
4451,4451,expense at checkout,shopping
2237,2237,expense of travelling,transport
3800,3800,today i bought my laptop and mouse ,shopping
2410,2410,i m buying petrol in my car ,transport
4392,4392,netflix got a year to go ,shopping
1562,1562,i came to the gas station today ,transport
5710,5710,i just got the house account today ,bills
6231,6231,i filed taxes every year ,bills
3924,3924,they bought a set of uniforms for kids ,shopping
6094,6094,this month emi for the car belongs to my bank ,bills
2645,2645,fuel sent from petrol ,transport
2705,2705,fill the gas tank on the car ,transport
307,307,i bought eggs and sandwiches and bread ,food
1151,1151,I bought dry fruits and milk today,food
3041,3041,book a ticket to a train,transport
4467,4467,i bought a new watch ,shopping
1616,1616,my car was blown up today ,transport
6064,6064,emi can be deducted from my accounts ,bills
3002,3002,i paid the ticket to the flight ,transport
3689,3689,today i bought an ipod ,shopping
4554,4554,she bought a brand new phone ,shopping
694,694,he was able to buy the fish and the meat ,food
5452,5452,i had to pay a rent ,bills
1885,1885,travel to korea on his own ,transport
4719,4719,i bought them tickets ,shopping
6062,6062,iem is deducted from your account please pay attention ,bills
6119,6119,paid for the mobile connection fee paid,bills
2947,2947,i was on my way to munnar then i came down ,transport
3882,3882,on today i bought a fridge online ,shopping
848,848,i bought some cashew nuts and dried fruit and we re on holiday ,food
3033,3033,a night time ticket for a train,transport
3723,3723,i bought a lcd and ran it today ,shopping
2514,2514,i fixed my bike ,transport
5477,5477,the budget bill was very high this quarter ,bills
3855,3855,i just got a novel ,shopping
6151,6151,i paid him this month is debt ,bills
6483,6483,paid my house rent today,bills
4038,4038,bought a desk computer,shopping
1674,1674,i bought one litre today ,transport
6185,6185,this year of taxes is paid,bills
5408,5408,purchase a new car ,bills
4100,4100,today i purchased xbox ,shopping
1974,1974,for the rain i had to hitch a cab to the office ,transport
3290,3290,I just purchase new bags for office,shopping
3530,3530,i really like the new saru and i bought her ,shopping
1351,1351,the petrol is filling ,transport
40,40,this is a great time and i bought my cool beverages and lunches ,food
5062,5062,and i bought a new raincoat ,shopping
1502,1502,go on a bike trip ,transport
1430,1430,i m here today to visit kochi,transport
2885,2885,i m going on a nice trip ,transport
4365,4365,i bought a subscription to netflix ,shopping
3084,3084,i filled my car into fuel oil ,transport
6216,6216,but when the government did i wrote my annual tax returns ,bills
1080,1080,he would make his meals in the afternoon ,food
3418,3418,i went buy my jacket today ,shopping
5277,5277,tud i bought perfume and shampoo ,shopping
5357,5357,i bought a new bike ,shopping
1188,1188,my bike got break down today,transport
1946,1946,today i went for a ride and filled deisel out with dez,transport
1482,1482,i had to fill the fuel tank with diesel ,transport
639,639,i bought some fruit juices and milk today ,food
2007,2007,i was in the office at the station today,transport
431,431,to spend my food for dinner,food
140,140,my mom and i came here to buy rice and other edible grasses ,food
74,74,today it is coffee and chips ,food
4971,4971,sport shoes,shopping
571,571,she went to the hypermarket for the food ,food
4277,4277,i bought a new camera but ,shopping
5780,5780,mortgage is paying,bills
5214,5214,i bought a brand new card for my laptop ,shopping
1136,1136,I bought coffee and tea today,food
3231,3231,today i bought a smartphone,shopping
2124,2124,my car broke down so i had to come by myself ,transport
3058,3058,i fixed a bike last week and i m sure you ll see ,transport
1099,1099,i had my lunch,food
2043,2043,uber price for day,transport
5262,5262,the perfume shop,shopping
5575,5575,water water bill,bills
6316,6316,the house is paid for rent by the master ,bills
2537,2537,petrol for everyone,transport
5242,5242,a television you didn not buy ,shopping
2701,2701,fill the fuel gas in the car,transport
1921,1921,i had to get the gasoline today ,transport
6215,6215,paid in instalments of income tax by ict in conformity with the applicable tax authorities ,bills
837,837,i bought you a coconut and vegetal yesterday ,food
5411,5411,purchase new,bills
112,112,i happen to have orea cookies and coffee ,food
3083,3083,filling my car filled with gasoline ,transport
99,99,today i bought,food
3894,3894,i bought a fridge online ,shopping
1125,1125,I happened to buy orea biscuits coffee,food
2625,2625,i just went to the town in the homewas ,transport
3358,3358,she went shopping for shoes ,shopping
5967,5967,my electricity bill is paid sir ,bills
1239,1239,petrol charges for today,transport
1683,1683,today i bought one litre of diesel ,transport
3964,3964,i went to the store and bought trousers ,shopping
1233,1233,i had to fill petrol on bike ,transport
3350,3350,i was on a trip and i made a fortune ,shopping
1303,1303,petrol,transport
1401,1401,purchase fuel,transport
908,908,the amount for lunch is today ,food
5216,5216,a power card card,shopping
718,718,i bought fish cakes today ,food
4544,4544,she bought a new phone ,shopping
4143,4143,i bought a book today to practice the leron is python ,shopping
2827,2827,i was in the middle of the road and filled with gasoline on my bike ,transport
1614,1614,my car crashed ,transport
553,553,i bought something from supermarket ,food
5190,5190,i bought a new headset for her ,shopping
4882,4882,a classroom bag bought ,shopping
602,602,today i bought fresh vegetables ,food
2446,2446,i went into town for a short trip ,transport
2463,2463,i wanted to take the car to my office because of the rainy weather ,transport
1419,1419,and today i m going to kochi,transport
2461,2461,i took the car to my office because the rain was coming ,transport
4954,4954,i bought sports clothing,shopping
6249,6249,i ve paid my entire car insurance policy ,bills
3778,3778,after big indian sales i bought phones and other mobile devices ,shopping
2635,2635,amount sent for gasoline,transport
1582,1582,did he go for a ride with my bike?,transport
3091,3091,i filled my petrol tank with gasoline ,transport
696,696,i wanted money to get fish and meat ,food
3846,3846,i bought a new book ,shopping
1365,1365,travel expenses ,transport
6393,6393,the bill of the precinct was paid,bills
410,410,today i bought rice chicken and other dishes ,food
145,145,i bought a rice from the rice and another ,food
3672,3672,played playstation from the amazon,shopping
4209,4209,expenses from shopping,shopping
596,596,i bought everything from a super market today ,food
5600,5600,payroll account,bills
4663,4663,i bought a new laptop to write a job at a computer,shopping
3395,3395,i bought allen shirts with my mom ,shopping
1443,1443,i had to repair the car so i took him in ,transport
598,598,i bought all these meals at the superfood store yesterday ,food
3727,3727,i bought a digital tv today ,shopping
1759,1759,the expense for the trip,transport
3716,3716,my mother in law is dead so today i bought a television lcd ,shopping
4885,4885,school packages ,shopping
3090,3090,i filled the gas,transport
4698,4698,i bought tickets for the movie and my dad didn not like it ,shopping
5998,5998,i paid off my loan ,bills
2678,2678,parking charge for today,transport
4229,4229,i went shopping today because i m buying shoes ,shopping
5426,5426,today i paid my rent ,bills
6104,6104,i ve got a full payment this month on my machine ,bills
1761,1761,costs for the ride,transport
2982,2982,flight to delhi flight booked ,transport
179,179,purchase of green vegetables,food
746,746,on christmas day i bought cookies and chips,food
489,489,i bought some food today ,food
5957,5957,my electricity bill is fully loaded ,bills
6518,6518,I have filed my yearly tax returns,bills
1848,1848,booked flights,transport
2475,2475,how much did i spend on the car repair?,transport
1818,1818,i went to the office with my bus ,transport
3123,3123,booking tickets,transport
5238,5238,i bought a new broadcast ,shopping
2244,2244,cost of travel,transport
3214,3214,I went for a trip and the expense,shopping
1272,1272,went gas station to fill gas,transport
1093,1093,i ate lunch this afternoon ,food
3038,3038,booked ticket to the train,transport
2225,2225,today i had to go to my office ,transport
6152,6152,i paid off this 2 5 loan this month ,bills
409,409,i bought rice chicken and stuff ,food
1744,1744,i went for a ride from waynad ,transport
1109,1109,i had to eat ,food
5586,5586,i paid my mobile bill ,bills
346,346,the purchases have been made today,food
4627,4627,i bought jeans and top hats ,shopping
840,840,he bought a couple of shells of cashews and dried fruits ,food
5010,5010,i bought equipment for gym and dumbells,shopping
288,288,purchase eggs and milk for sale ,food
2389,2389,today i had to be on the bus ,transport
331,331,i bought coffee and tea today and there is nothing wrong with it ,food
4280,4280,i bought another camera ,shopping
4535,4535,i just bought a brand new samsung ,shopping
3839,3839,i found a new novel ,shopping
191,191,she bought 1 kg ,food
1557,1557,i was driving today gas to get out of the gas ,transport
2747,2747,i was on my way to fill up the tank when i was driving ,transport
5639,5639,mobile bill for mobile,bills
2068,2068,i went to university with uber ,transport
3024,3024,the second class of ac trains will be scheduled ,transport
4189,4189,i went shopping for sneakers ,shopping
6160,6160,i have taxes paid out this year ,bills
4287,4287,i bought a new camera i ll take care of your problem my lord ,shopping
469,469,total cost of buying a household,food
5430,5430,i m paying the house today ,bills
6038,6038,emi for the month has a fee,bills
3070,3070,i fixed my bike yesterday ,transport
1667,1667,i have a car with a diesel engine ,transport
2308,2308,i went down on a train ,transport
3822,3822,we bought new raincoats today ,shopping
2439,2439,in small steps around the state i went down with my bike ,transport
2113,2113,the car is broken so i have to go by uber car ,transport
5838,5838,i paid your broadband charges ,bills
5397,5397,get a new car!,bills
2363,2363,uber fees,transport
325,325,i bought a cup of coffee today ,food
5927,5927,i paid for the rent,bills
2961,2961,this trip was really great ,transport
1499,1499,on his bike trip ,transport
4453,4453,purchase price,shopping
1423,1423,today i m going to kochi ,transport
1139,1139,i purchased 1 litre milk and meat today,food
3862,3862,from flipkart i bought the watch ,shopping
5920,5920,i paid rent,bills
781,781,he bought me a liter of oil,food
643,643,i m spending money on bread and eggs ,food
3259,3259,bought a new fridge ,shopping
795,795,today i purchased 1 liter of oil from the factory ,food
2086,2086,i had to come up with uber today ,transport
3435,3435,i was going to grab a jacket today ,shopping
2739,2739,and i went to go to gas ,transport
4099,4099,i bought a copy today ,shopping
2609,2609,i need to fix the car ,transport
298,298,purchase eggs and eggs,food
13,13,i bought food from the hotel ,food
1979,1979,the rain brought me to a cab ,transport
3596,3596,i bought a playstation from a playstation ,shopping
556,556,i bought things from a super market store ,food
147,147,i bought rice and meat free ,food
4470,4470,i got a new watch ,shopping
2489,2489,amount for repairs in a car repair center,transport
1268,1268,booked bus tickets,transport
4620,4620,i bought jeans ,shopping
1851,1851,plane tickets,transport
5623,5623,i paid my bill today for work ,bills
364,364,today today i went shopping for new food ,food
1941,1941,i went to the car today and drove to mcar and found deisel ,transport
2786,2786,expenses for my journey,transport
2936,2936,i only took a short trip to munnar ,transport
901,901,the price of this lunch paid today,food
4615,4615,expenses in terms of textile production,shopping
1026,1026,auber eats order from the buffet,food
1580,1580,i went on a motorcycle to take a tour ,transport
3866,3866,i bought a watch at flipkart ,shopping
450,450,i ate two meals today ,food
3960,3960,i went shopping bought some pants ,shopping
4880,4880,shopping bags,shopping
54,54,i only got hot drinks and snacks today ,food
928,928,it is a lot of money for dinner ,food
4888,4888,school shoes bought,shopping
5193,5193,i bought a new audiobooks ,shopping
